book_id_csv,book_id
762,1421500906
763,1421500914
764,1421501759
765,1421502798
766,1421503549
767,1421504030
768,142150460X
769,1421505053
770,142150541X
771,1421506297
772,1421506424
773,1421506548
774,1421507218
775,1421508389
776,1421509598
777,142151043X
778,142151379X
779,1421513943
780,142180041
781,142180092
782,142300845
783,142301442
784,142302333
785,1423100182
786,1423100190
787,1423100204
788,1423100611
789,1423101685
790,1423103343
791,1423600762
792,142402486
793,142402494
794,142402931
795,142403016
796,142403202
797,142404209
798,142405744
799,142407224
800,142407577
801,142407925
802,142437018
803,142437115
804,142437557
805,142437786
806,142437883
807,142437891
808,142500372
809,142501182
810,142501522
811,1425910394
812,1426423705
813,143030906
814,143034367
815,143034758
816,143035169
817,143035835
818,143036068
819,143036084
820,143036246
821,143036351
822,143036394
823,143036661
824,143036696
825,143036831
826,143036939
827,143036971
828,143037145
829,143037234
830,143037390
831,143037439
832,143037498
833,143037684
834,143037838
835,143038095
836,143038109
837,143038311
838,143038826
839,143039105
840,143039148
841,143039318
842,143039490
843,143039504
844,143039652
845,143039857
846,143039865
847,151010269
848,151461546
849,152045732
850,152049673
851,152050868
852,152051244
853,152052607
854,152054472
855,152057641
856,1550023926
857,1550225405
858,1551052709
859,1551111721
860,155111223X
861,1551114127
862,1551116448
863,1551117223
864,1551665719
865,1551666723
866,1551667436
867,1551668513
868,1551669048
869,155166951X
870,1553377524
871,1553651529
872,1555533078
873,1555837239
874,1555916228
875,1555973035
876,1556432461
877,1556434243
878,1556434308
879,155652398X
880,1556525133
881,1556615426
882,155704676X
883,1557046867
884,1557047413
885,155709103X
886,155728024X
887,1557283303
888,1557424292
889,155783041X
890,1557831572
891,1557832455
892,1558492763
893,1559210400
894,1559210869
895,156001268
896,156001454
897,156002086
898,1560067845
899,156007479
900,156011654
901,156025114X
902,1560252480
903,1560254416
904,1560257016
905,1560258241
906,1560258500
907,156027593
908,156027658
909,156027917
910,156028069
911,156028972
912,156029022
913,156029065
914,156030160
915,156030276
916,156030306
917,156030411
918,156030934
919,156031639
920,156032112
921,156032295
922,156032392
923,156032597
924,1561381489
925,1561706604
926,1561709336
927,1561796778
928,156189216
929,156212501
930,1562549421
931,156260360
932,156260379
933,156260387
934,156260395
935,156260409
936,156260557
937,1562802348
938,156286513
939,1562920588
940,1562926160
941,1563050757
942,156306301
943,1563410907
944,1563890356
945,1563891891
946,1563892022
947,1563892464
948,1563893304
949,1563893339
950,156389369X
951,1563895161
952,1563895951
953,1563896001
954,1563897563
955,156453800
956,1564775003
957,1564780619
958,1564781313
959,1564781402
960,1564782999
961,1564783952
962,1565041917
963,1565044045
964,1565047087
965,1565078322
966,156508877
967,1565121821
968,1565124502
969,1565124820
970,1565125606
971,1565482018
972,1565840089
973,1565840399
974,1565842219
975,1565844750
976,1565846710
977,1565847040
978,1565849426
979,1565849655
980,156619180
981,156631407
982,156659751
983,1566631327
984,156663394X
985,1566915902
986,1566993237
987,1567430287
988,1567921574
989,1567921582
990,1567921892
991,1567922694
992,1567923224
993,1568363567
994,1568821174
995,1568821409
996,1568821441
997,1568821484
998,1568821743
999,1568821808
1000,1568821875
1001,1568984952
1002,1569246815
1003,1569319499
1004,156932504
1005,1569471037
1006,156947124X
1007,1569473331
1008,1569473641
1009,156949601
1010,1569550344
1011,1569709076
1012,1569709084
1013,1569709807
1014,1569715149
1015,1569719365
1016,1569719608
1017,1569719624
1018,1569755663
1019,1570614598
1020,1570625190
1021,1570671044
1022,1570671818
1023,1570715831
1024,1570754365
1025,157174102X
1026,1572244259
1027,1572307021
1028,1572308680
1029,1573223565
1030,1573225053
1031,1573225789
1032,1573226882
1033,1573227161
1034,1573229628
1035,1573229865
1036,1573442216
1037,1573456632
1038,1574231006
1039,1574671324
1040,1574889230
1041,1575667215
1042,1575667649
1043,1576753514
1044,1576839508
1045,1576839540
1046,1577310764
1047,1577312058
1048,1577312090
1049,1577314034
1050,1577660099
1051,1577780728
1052,1577782089
1053,1578067049
1054,1578067596
1055,1578068010
1056,1578562589
1057,1578569052
1058,1578569540
1059,1579126235
1060,1579126243
1061,1579126251
1062,1579126278
1063,1579126898
1064,1579126952
1065,1579510027
1066,1579546463
1067,1579905080
1068,1580012590
1069,158005188X
1070,1580070914
1071,1580086810
1072,1580175201
1073,1580420818
1074,1580495796
1075,1580495869
1076,1580624596
1077,1580628362
1078,1580631606
1079,1580931774
1080,1580931863
1081,1581342470
1082,158134449X
1083,1581345267
1084,1581345275
1085,1581345283
1086,1581346085
1087,1581346522
1088,1581348096
1089,1581807597
1090,1581807740
1091,1581821360
1092,1582293082
1093,1582294011
1094,1582343497
1095,1582344728
1096,1582346100
1097,1582346178
1098,1582404879
1099,158240612X
1100,1582406936
1101,1582433224
1102,1582433410
1103,1582433453
1104,158297294X
1105,1583224718
1106,1583224890
1107,1583332057
1108,1584281340
1109,1584794941
1110,1584850450
1111,1584850558
1112,1585004847
1113,1585100374
1114,1585100870
1115,1585421774
1116,1585424331
1117,1585424994
1118,1585425001
1119,1585425249
1120,1585672173
1121,1585672327
1122,1585672793
1123,1585675172
1124,158567575X
1125,1585676578
